"","Milk_drinks","Milk_desserts","Cheese","Poultry","Fish_shellfish","Meat","Cured_meat","Eggs","Legumes_nuts_seeds","Breads_refined","Breads_whole","Cakes_cookies","Pancakes_other","Savory_pies","Sandwiches","Patties_loaves","Pasta_based","Tortilla_based","Mayonnaise_salads","Pastas_rice","Crackers_salty_snacks","Breakfast_cereals_high_sugar","Breakfast_cereals_low_sugar","Fruit_juice","Whole_fruits","Potatoes","Potatoes_fried","DG_vegetables","RO_vegetables","Other_vegetables","Solid_fats","Oils","Sauces","Soups","Sugars_sweets","Coffee_tea","Sugar_sweetened_drinks","Water"
"Milk_drinks",0,0,-0.237915892197625,0,0,0,-0.186399234144576,-0.237495312058839,0,-0.22209772239218,0,0,0,0,0,0,0,0,0,0,0,0.414678249489215,0.37632977551792,-0.249196443226022,0,0,-0.20209197015253,0,0,0,-0.259915099402318,0,0,0,0,0,-0.195837459690654,0
"Milk_desserts",0,0,0,0,0,0.171254682577733,0,0,0,0,0,0,0,0,0,0.594364579840714,0,0,0,0,0.241411200344808,0,0,0,0,0,0,0,0.252737752100477,0.246196859688442,0,0,0.232590618463775,0,0,0,0,0
"Cheese",-0.237915892197625,0,0,0,0,0.359712384169766,0.245559796069911,0.445311461640543,0,0.397894266619528,0,0,0,0,0,0,0,0,0,0,0,0,-0.191243225979475,0,0,0,0,0,0.185584023584394,0.198444102247991,0.251974919956073,0,0.171372445453272,0,0,0,0,0
"Poultry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20739208685113,0,0.298634281350042,0,0,0,0,0,0,0,0,0.291490026247785,0,0,0,0,0.41082187474868,0,0,0,0,0
"Fish_shellfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272945562853925,0,0,0,0,0,0.258166578139891,0,0,0.337139345619454,0,0,0,0,0,0,0,0,0
"Meat",0,0.171254682577733,0.359712384169766,0,0,0,0,0.354115210554753,0,0.247759416792731,0,0,0.192870012136696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187247459948521,0,0.231641091874545,0,0,0,0,0,0.196019487228674,0
"Cured_meat",-0.186399234144576,0,0.245559796069911,0,0,0,0,0.259273617356675,0,0.238681980337611,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168612459617831,0,0,0,0,0,0,0.220331683616093,0,0,0,0,0,0,0
"Eggs",-0.237495312058839,0,0.445311461640543,0,0,0.354115210554753,0.259273617356675,0,0,0,0.182865528959403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292306665342488,0.406593923239097,0,0,0,0,0,0,0
"Legumes_nuts_seeds",0,0,0,0,0,0,0,0,0,0,0.197228121405319,0,0,0,0,0,0,0,0,0.170043594562132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Breads_refined",-0.22209772239218,0,0.397894266619528,0,0,0.247759416792731,0.238681980337611,0,0,0,-0.180597090033557,0,0,0,0,0,0,0,0,0,0,-0.195070492285859,-0.211917349736803,0,0,0,0,0,0,0,0.248836293005532,0,0,0,0,0,0,0
"Breads_whole",0,0,0,0,0,0,0,0.182865528959403,0.197228121405319,-0.180597090033557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206549779659371,0,0,0,0,0,0,0
"Cakes_cookies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18842211079122,0,0,0.182457380490675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pancakes_other",0,0,0,0,0,0.192870012136696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290713088011883,0,0,0,0.500373817400275,0,0,0
"Savory_pies",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197088870046177,0,0,0,0,0,0,0,0,0,0
